name,org_nr,address,post_code,post_area,rating,price_level,user_ratings_total,agg_grade,mean_inspection_type,total_inspections,website,reservable,dine_in,mean_grade,count_grade_0,count_grade1,count_grade2,count_grade3,latlng
Elefanten,923857680,Romsås Senter 1,0970,OSLO,4.6,,26.0,3,0.3333333333333333,3,1,,,1.0,1,1,1,0,"[59.963161, 10.892858]"
Elias Mat & Sånt,881521032,Kristian August gate 14,0164,OSLO,4.4,2,771.0,2,0.0,2,1,,,1.0,0,2,0,0,"[59.916325611954704, 10.73859218076737]"
Elise Cafe,971710772,Elisenbergveien 22,0265,OSLO,4.1,2,166.0,1,0.0,2,1,,,0.5,1,1,0,0,"[59.918934, 10.706107]"
Engebret Cafe ,990636362,BANKPLASSEN 1,0151,OSLO,4.4,3,1074.0,11,0.4545454545454545,11,1,,,1.0,5,1,5,0,"[59.909009, 10.741715]"
Entrecote by Trancher,918844996,Bryggetorget 10,0250,OSLO,4.1,2,280.0,7,0.4285714285714285,7,1,,,1.0,3,1,3,0,"[59.909378, 10.724584]"
Esaias,972128910,Dronningens gate 27,0154,OSLO,4.3,2,148.0,5,0.6666666666666666,3,1,,,1.6666666666666667,1,0,1,1,"[59.91219, 10.747766]"
Espresso House,914266254,Schweigaardsgate 6,0185,OSLO,4.0,2,130.0,4,0.0,4,1,,,1.0,0,4,0,0,"[59.91191258184236, 10.756443036141093]"
Espresso House,915374522,Storgata 32,0184,OSLO,3.9,2,240.0,6,0.3333333333333333,6,1,,,1.0,2,2,2,0,"[59.914163, 10.752915]"
Espresso House,917379289,STOVNER SENTER 3,0985,OSLO,3.6,2,83.0,13,0.5,12,1,,,1.0833333333333333,5,1,6,0,"[59.962146, 10.924524]"
Espresso House Aker Brygge,914266335,STRANDEN 1,0250,OSLO,4.1,2,918.0,5,0.1428571428571428,7,1,,,0.7142857142857143,3,3,1,0,"[59.910504, 10.728505]"
Espresso House Byporten (andre etasje),913091450,Jernbanetorget 6,0154,OSLO,3.5,2,58.0,6,0.4285714285714285,7,1,,,0.8571428571428571,4,0,3,0,"[59.911771, 10.751553]"
Espresso House Byporten nr 804,913091450,JERNBANETORGET 6,0154,OSLO,3.5,2,58.0,10,0.4545454545454545,11,1,,,0.9090909090909092,6,0,5,0,"[59.911771, 10.751553]"
